row      NDB_No  FdGrp_Cd                                          Long_Desc  VITA_RAE
6347   19383      1900              Candies, toffee, prepared-from-recipe     319.0
1824    8082       800    Cereals ready-to-eat, GENERAL MILLS, Wheat CHEX     317.0
2866   11086      1100                   Beet greens, raw (Beta vulgaris)     316.0
3202   11503      1100  Swamp cabbage, (skunk cabbage), raw (Ipomoea a...     315.0
7982   28179      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...     313.0
7985   28182      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...     313.0
7984   28181      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...     313.0
2984   11235      1100                           Kale, frozen, unprepared     313.0
253     2004       200                  Spices, bay leaf (Laurus nobilis)     309.0
3245   11574      1100                  Turnip greens, frozen, unprepared     309.0
2917   11148      1100  Chard, swiss, cooked, boiled, drained, without...     306.0
2916   11147      1100  Chard, swiss, raw (Beta vulgaris subsp. vulaga...     306.0
3382   11765      1100   Chard, swiss, cooked, boiled, drained, with salt     306.0
3247   11576      1100      Turnip greens and turnips, frozen, unprepared     305.0
7968   28164      1800  KELLOGG'S, POP-TARTS, Frosted Blueberry Muffin...     300.0
7983   28180      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...     300.0
7981   28178      1800  KELLOGG'S, POP-TARTS, Ice Cream Shoppe Frosted...     300.0
7980   28177      1800  KELLOGG'S, POP-TARTS, Frosted Wild Strawberry ...     300.0
7978   28175      1800  KELLOGG'S, POP-TARTS, Frosted Wild Fruit Fusio...     300.0
7995   28192      1800  KELLOGG'S, POP-TARTS, Gingerbread Toaster Past...     300.0
7976   28173      1800  KELLOGG'S, POP-TARTS, Frosted Sugar Cookie Toa...     300.0
7970   28167      1800  KELLOGG'S, POP-TARTS, Frosted Cinnamon Roll To...     300.0
5930   18497      1800  Toaster Pastries, KELLOGG, KELLOGG'S LOW FAT P...     300.0
7969   28165      1800  KELLOGG'S, POP-TARTS, Chocolate Chip Cookie Do...     300.0
7996   28193      1800  KELLOGG'S, POP-TARTS, Yum-azing Vanilla Milksh...     300.0
7973   28170      1800  KELLOGG'S, POP-TARTS, Frosted Orange Cream Toa...     300.0
7977   28174      1800  KELLOGG'S, POP-TARTS, Frosted Waffle Cone Toas...     300.0
7974   28171      1800  KELLOGG'S, POP-TARTS, Frosted Pumpkin Pie Toas...     300.0
2033    8596       800  Cereals ready-to-eat, GENERAL MILLS, FIBER ONE...     298.0
8723   43387      1100               Turnip greens, canned, no salt added     298.0
287     2038       200          Spices, sage, ground (Salvia officinalis)     295.0
261     2012       200  Spices, coriander leaf, dried (Coriandrum sati...     293.0
257     2008       200     Spices, chervil, dried (Anthriscus cerefolium)     293.0
266     2017       200      Spices, dill weed, dried (Anethum graveolens)     293.0
7975   28172      1800  KELLOGG'S, POP-TARTS, Frosted Spring Berry Toa...     289.0
3061   11318      1100  Peas and carrots, canned, regular pack, solids...     289.0
5924   18486      1800  Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS...     289.0
5928   18490      1800  Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS...     289.0
5922   18481      1800  Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS...     289.0
5918   18476      1800  Toaster Pastries, KELLOGG, KELLOGG'S POP TARTS...     289.0
3459   11845      1100        Pumpkin, cooked, boiled, drained, with salt     288.0
5743   18237      1800             Cream puff shell, prepared from recipe     288.0
3141   11423      1100     Pumpkin, cooked, boiled, drained, without salt     288.0
7811   28003      1800               KELLOGG'S, EGGO, Pancakes, Blueberry     286.0
7812   28004      1800          KELLOGG'S, EGGO, Pancakes, Chocolate Chip     286.0
7814   28006      1800            KELLOGG'S, CINNABON, Pancakes, Original     286.0
2921   11152      1100            Chicory greens, raw (Cichorium intybus)     286.0
7813   28005      1800             KELLOGG'S, CINNABON, Pancakes, Caramel     286.0
5917   18459      1800                            Breakfast tart, low fat     285.0
1943    8380       800  Cereals ready-to-eat, KELLOGG, KELLOGG'S, RAIS...     283.0
3285   11634      1100                Peppers, sweet, green, freeze-dried     282.0
1904    8247       800  Cereals ready-to-eat, GENERAL MILLS, TOTAL Rai...     281.0
2980   11231      1100           Jute, potherb, raw (Corchorus olitorius)     278.0
8061   28259      1800        KELLOGG'S, EGGO Minis, Pancakes, Buttermilk     273.0
5873   18401      1800  Pie crust, cookie-type, prepared from recipe, ...     269.0
1909    8262       800       Cereals ready-to-eat, GENERAL MILLS, BASIC 4     265.0
292     2044       200                    Basil, fresh (Ocimum basilicum)     264.0
3582   11975      1100                               Grape leaves, canned     263.0
3477   11863      1100  Squash, winter, all varieties, cooked, baked, ...     261.0
3291   11644      1100  Squash, winter, all varieties, cooked, baked, ...     261.0
3203   11504      1100  Swamp cabbage (skunk  cabbage), cooked, boiled...     260.0
3158   11446      1100           Seaweed, laver, raw (Porphyra laciniata)     260.0
